Day,Exam_Date,Rank,Registration_No,Roll_No,Marks,Percentile
Day 2 (20 June 2026),20 June 2026,99,SG250066908,1050700562,65.06,93.58
Day 2 (20 June 2026),20 June 2026,696,SG250066934,1050700563,37.77,54.46
Day 2 (20 June 2026),20 June 2026,286,SG250074619,1050700568,54.1,81.32
Day 2 (20 June 2026),20 June 2026,283,SG250074822,1050700569,54.42,81.52
Day 2 (20 June 2026),20 June 2026,891,SG250075772,1050700570,31.47,41.68
Day 2 (20 June 2026),20 June 2026,250,SG250079474,1050700571,56.11,83.68
Day 2 (20 June 2026),20 June 2026,514,SG250082492,1050700572,44.44,66.38
Day 2 (20 June 2026),20 June 2026,1367,SG250086919,1050700573,10.8,10.48
Day 2 (20 June 2026),20 June 2026,248,SG250088003,1050700574,56.39,83.81
Day 2 (20 June 2026),20 June 2026,1421,SG250093197,1050700575,7.52,6.95
Day 2 (20 June 2026),20 June 2026,727,SG250093266,1050700576,36.76,52.42
Day 2 (20 June 2026),20 June 2026,672,SG250095120,1050700577,38.82,56.03
Day 2 (20 June 2026),20 June 2026,530,SG250095619,1050700578,44.1,65.33
Day 2 (20 June 2026),20 June 2026,1471,SG250097423,1050700580,3.56,3.67
Day 2 (20 June 2026),20 June 2026,980,SG250102115,1050700584,27.84,35.85
Day 2 (20 June 2026),20 June 2026,996,SG250103908,1050700585,27.45,34.8
Day 2 (20 June 2026),20 June 2026,1165,SG250103999,1050700586,20.48,23.72
Day 2 (20 June 2026),20 June 2026,1484,SG250107114,1050700588,2.22,2.82
Day 2 (20 June 2026),20 June 2026,1292,SG250111520,1050700590,14.87,15.4
Day 2 (20 June 2026),20 June 2026,1120,SG250111845,1050700591,22.04,26.67
Day 2 (20 June 2026),20 June 2026,1274,SG250114649,1050700592,15.82,16.58
Day 2 (20 June 2026),20 June 2026,1119,SG250116740,1050700595,22.11,26.74
Day 2 (20 June 2026),20 June 2026,1337,SG250128412,1050700601,12.83,12.45
Day 2 (20 June 2026),20 June 2026,1278,SG250130119,1050700603,15.73,16.32
Day 2 (20 June 2026),20 June 2026,832,SG250132828,1050700606,33.44,45.54
Day 2 (20 June 2026),20 June 2026,1366,SG250134227,1050700607,10.84,10.55
