Day,Exam_Date,Rank,Registration_No,Roll_No,Marks,Percentile
Day 2 (20 June 2026),20 June 2026,654,SG250025926,1040800491,48.1,76.3
Day 2 (20 June 2026),20 June 2026,2267,SG250026712,1040800492,16.86,17.75
Day 2 (20 June 2026),20 June 2026,421,SG250027440,1040800493,53.42,84.75
Day 2 (20 June 2026),20 June 2026,316,SG250029263,1040800495,56.08,88.57
Day 2 (20 June 2026),20 June 2026,989,SG250031412,1040800498,42.07,64.14
Day 2 (20 June 2026),20 June 2026,831,SG250031490,1040800499,45.08,69.87
Day 2 (20 June 2026),20 June 2026,1675,SG250033426,1040800502,29.5,39.24
Day 2 (20 June 2026),20 June 2026,2021,SG250033448,1040800503,23.15,26.68
Day 2 (20 June 2026),20 June 2026,72,SG250034086,1040800505,67.07,97.42
Day 2 (20 June 2026),20 June 2026,899,SG250034846,1040800506,43.77,67.4
Day 2 (20 June 2026),20 June 2026,13,SG250037185,1040800508,73.71,99.56
Day 2 (20 June 2026),20 June 2026,2678,SG250038007,1040800509,1.56,2.83
Day 2 (20 June 2026),20 June 2026,751,SG250038485,1040800510,46.13,72.78
Day 2 (20 June 2026),20 June 2026,2311,SG250039074,1040800512,15.52,16.15
Day 2 (20 June 2026),20 June 2026,1480,SG250042435,1040800514,32.17,46.32
Day 2 (20 June 2026),20 June 2026,76,SG250044092,1040800515,67.04,97.28
Day 2 (20 June 2026),20 June 2026,1808,SG250048209,1040800518,27.46,34.41
Day 2 (20 June 2026),20 June 2026,1847,SG250049362,1040800520,26.8,32.99
Day 2 (20 June 2026),20 June 2026,525,SG250049418,1040800521,51.42,80.98
Day 2 (20 June 2026),20 June 2026,2380,SG250052514,1040800526,13.55,13.65
Day 2 (20 June 2026),20 June 2026,1017,SG250054326,1040800527,41.47,63.12
Day 2 (20 June 2026),20 June 2026,272,SG250055272,1040800528,57.1,90.16
Day 2 (20 June 2026),20 June 2026,186,SG250055582,1040800529,60.1,93.28
Day 2 (20 June 2026),20 June 2026,1859,SG250057777,1040800531,26.49,32.56
Day 2 (20 June 2026),20 June 2026,858,SG250059743,1040800532,44.45,68.89
Day 2 (20 June 2026),20 June 2026,2593,SG250060048,1040800534,6.19,5.92
Day 2 (20 June 2026),20 June 2026,1171,SG250060381,1040800535,38.46,57.53
Day 2 (20 June 2026),20 June 2026,1194,SG250063523,1040800537,38.12,56.7
Day 2 (20 June 2026),20 June 2026,1356,SG250063795,1040800538,34.78,50.82
Day 2 (20 June 2026),20 June 2026,1085,SG250065242,1040800539,40.1,60.65
Day 2 (20 June 2026),20 June 2026,2009,SG250065497,1040800540,23.49,27.11
Day 2 (20 June 2026),20 June 2026,1169,SG250065859,1040800541,38.47,57.6
Day 2 (20 June 2026),20 June 2026,2259,SG250068492,1040800542,17.2,18.04
Day 2 (20 June 2026),20 June 2026,583,SG250068735,1040800543,49.75,78.87
Day 2 (20 June 2026),20 June 2026,1553,SG250068762,1040800544,31.47,43.67
Day 2 (20 June 2026),20 June 2026,243,SG250069108,1040800546,58.07,91.22
Day 2 (20 June 2026),20 June 2026,2103,SG250070641,1040800548,21.19,23.7
Day 2 (20 June 2026),20 June 2026,804,SG250071904,1040800549,45.44,70.85
Day 2 (20 June 2026),20 June 2026,2218,SG250075409,1040800553,18.43,19.53
Day 2 (20 June 2026),20 June 2026,1040,SG250075513,1040800554,41.09,62.29
Day 2 (20 June 2026),20 June 2026,1925,SG250078358,1040800556,25.45,30.16
Day 2 (20 June 2026),20 June 2026,1318,SG250078404,1040800557,35.44,52.2
Day 2 (20 June 2026),20 June 2026,1477,SG250078943,1040800558,32.44,46.42
Day 2 (20 June 2026),20 June 2026,2325,SG250079936,1040800559,15.16,15.64
Day 2 (20 June 2026),20 June 2026,1319,SG250079979,1040800560,35.43,52.16
Day 2 (20 June 2026),20 June 2026,1209,SG250081891,1040800562,37.79,56.15
Day 2 (20 June 2026),20 June 2026,2149,SG250082036,1040800563,20.19,22.03
Day 2 (20 June 2026),20 June 2026,504,SG250082998,1040800565,51.77,81.74
Day 2 (20 June 2026),20 June 2026,670,SG250084711,1040800569,47.76,75.72
Day 2 (20 June 2026),20 June 2026,1647,SG250087154,1040800574,30.11,40.25
Day 2 (20 June 2026),20 June 2026,1595,SG250090632,1040800577,30.81,42.14
