Day,Exam_Date,Rank,Registration_No,Roll_No,Marks,Percentile
Day 2 (20 June 2026),20 June 2026,79,SG250062718,1091200561,37.75,78.15
Day 2 (20 June 2026),20 June 2026,195,SG250075806,1091200564,24.13,45.66
Day 2 (20 June 2026),20 June 2026,338,SG250077477,1091200565,2.21,5.6
Day 2 (20 June 2026),20 June 2026,72,SG250086059,1091200572,38.41,80.11
Day 2 (20 June 2026),20 June 2026,247,SG250089293,1091200574,17.75,31.09
Day 2 (20 June 2026),20 June 2026,284,SG250098911,1091200575,11.19,20.73
Day 2 (20 June 2026),20 June 2026,92,SG250099545,1091200576,35.74,74.51
Day 2 (20 June 2026),20 June 2026,181,SG250107465,1091200578,25.49,49.58
Day 2 (20 June 2026),20 June 2026,160,SG250107609,1091200579,27.77,55.46
Day 2 (20 June 2026),20 June 2026,46,SG250117705,1091200581,43.41,87.39
Day 2 (20 June 2026),20 June 2026,34,SG250122713,1091200582,46.05,90.76
Day 2 (20 June 2026),20 June 2026,234,SG250126750,1091200583,19.12,34.73
Day 2 (20 June 2026),20 June 2026,145,SG250128092,1091200585,29.09,59.66
Day 2 (20 June 2026),20 June 2026,123,SG250131309,1091200587,31.74,65.83
Day 2 (20 June 2026),20 June 2026,329,SG250138745,1091200589,5.14,8.12
Day 2 (20 June 2026),20 June 2026,134,SG250003942,1101200594,30.48,62.75
Day 2 (20 June 2026),20 June 2026,96,SG250012491,1101200598,35.42,73.39
Day 2 (20 June 2026),20 June 2026,179,SG250036270,1101200606,25.52,50.14
Day 2 (20 June 2026),20 June 2026,41,SG250056601,1101200609,44.4,88.8
Day 2 (20 June 2026),20 June 2026,28,SG250059991,1101200610,47.06,92.44
Day 2 (20 June 2026),20 June 2026,99,SG250061149,1101200612,34.42,72.55
Day 2 (20 June 2026),20 June 2026,237,SG250067160,1101200613,18.81,33.89
Day 2 (20 June 2026),20 June 2026,260,SG250067797,1101200614,15.44,27.45
Day 2 (20 June 2026),20 June 2026,185,SG250072689,1101200616,25.46,48.46
Day 2 (20 June 2026),20 June 2026,206,SG250079411,1101200620,22.77,42.58
Day 2 (20 June 2026),20 June 2026,105,SG250093741,1101200623,33.12,70.87
Day 2 (20 June 2026),20 June 2026,159,SG250103849,1101200626,27.8,55.74
Day 2 (20 June 2026),20 June 2026,211,SG250104096,1101200627,22.43,41.18
Day 2 (20 June 2026),20 June 2026,4,SG250108176,1101200630,63.4,99.16
Day 2 (20 June 2026),20 June 2026,317,SG250118481,1101200633,6.21,11.48
Day 2 (20 June 2026),20 June 2026,325,SG250119373,1101200634,5.57,9.24
Day 2 (20 June 2026),20 June 2026,155,SG250121083,1101200636,28.47,56.86
Day 2 (20 June 2026),20 June 2026,130,SG250132558,1101200639,31.12,63.87
Day 2 (20 June 2026),20 June 2026,120,SG250000692,1111200643,31.77,66.67
Day 2 (20 June 2026),20 June 2026,71,SG250001269,1111200644,38.71,80.39
Day 2 (20 June 2026),20 June 2026,251,SG250001833,1111200645,17.35,29.97
Day 2 (20 June 2026),20 June 2026,73,SG250002986,1111200650,38.4,79.83
Day 2 (20 June 2026),20 June 2026,115,SG250003192,1111200651,32.16,68.07
Day 2 (20 June 2026),20 June 2026,111,SG250016105,1111200656,32.43,69.19
Day 2 (20 June 2026),20 June 2026,345,SG250018535,1111200658,0.25,3.64
Day 2 (20 June 2026),20 June 2026,147,SG250021765,1111200662,28.83,59.1
Day 2 (20 June 2026),20 June 2026,133,SG250023361,1111200663,30.73,63.03
Day 2 (20 June 2026),20 June 2026,152,SG250024275,1111200664,28.48,57.7
Day 2 (20 June 2026),20 June 2026,219,SG250025100,1111200667,20.86,38.94
Day 2 (20 June 2026),20 June 2026,285,SG250026102,1111200669,11.12,20.45
Day 2 (20 June 2026),20 June 2026,12,SG250027839,1111200670,52.42,96.92
Day 2 (20 June 2026),20 June 2026,121,SG250030117,1111200672,31.77,66.39
Day 2 (20 June 2026),20 June 2026,232,SG250036538,1111200674,19.46,35.29
Day 2 (20 June 2026),20 June 2026,82,SG250049014,1111200678,36.79,77.31
Day 2 (20 June 2026),20 June 2026,228,SG250050312,1111200679,19.82,36.41
Day 2 (20 June 2026),20 June 2026,202,SG250053606,1111200681,23.46,43.7
Day 2 (20 June 2026),20 June 2026,290,SG250055566,1111200682,10.21,19.05
Day 2 (20 June 2026),20 June 2026,353,SG250055786,1111200683,-4.11,1.4
Day 2 (20 June 2026),20 June 2026,265,SG250057248,1111200685,14.53,26.05
Day 2 (20 June 2026),20 June 2026,168,SG250060164,1111200688,26.8,53.22
Day 2 (20 June 2026),20 June 2026,182,SG250061833,1111200689,25.49,49.3
Day 2 (20 June 2026),20 June 2026,176,SG250064161,1111200690,25.78,50.98
Day 2 (20 June 2026),20 June 2026,337,SG250066684,1111200693,2.86,5.88
Day 2 (20 June 2026),20 June 2026,280,SG250067339,1111200694,11.87,21.85
Day 2 (20 June 2026),20 June 2026,2,SG250068371,1111200695,77.38,99.72
Day 2 (20 June 2026),20 June 2026,256,SG250079995,1111200700,15.86,28.57
Day 2 (20 June 2026),20 June 2026,5,SG250081743,1111200704,58.73,98.88
Day 2 (20 June 2026),20 June 2026,102,SG250082865,1111200705,34.03,71.71
Day 2 (20 June 2026),20 June 2026,80,SG250095505,1111200709,37.4,77.87
Day 2 (20 June 2026),20 June 2026,291,SG250100100,1111200715,10.21,18.77
Day 2 (20 June 2026),20 June 2026,177,SG250100616,1111200716,25.78,50.7
Day 2 (20 June 2026),20 June 2026,262,SG250100901,1111200717,15.17,26.89
Day 2 (20 June 2026),20 June 2026,39,SG250110615,1111200720,44.72,89.36
Day 2 (20 June 2026),20 June 2026,336,SG250112526,1111200722,2.9,6.16
Day 2 (20 June 2026),20 June 2026,275,SG250112847,1111200723,12.79,23.25
Day 2 (20 June 2026),20 June 2026,50,SG250113682,1111200724,41.74,86.27
Day 2 (20 June 2026),20 June 2026,83,SG250121655,1111200728,36.49,77.03
Day 2 (20 June 2026),20 June 2026,62,SG250132061,1111200733,39.75,82.91
Day 2 (20 June 2026),20 June 2026,254,SG250138335,1111200736,16.21,29.13
Day 2 (20 June 2026),20 June 2026,126,SG250000405,1121200742,31.73,64.99
Day 2 (20 June 2026),20 June 2026,143,SG250000649,1121200744,29.14,60.22
Day 2 (20 June 2026),20 June 2026,142,SG250001665,1121200746,29.43,60.5
Day 2 (20 June 2026),20 June 2026,161,SG250005022,1121200748,27.48,55.18
Day 2 (20 June 2026),20 June 2026,67,SG250013034,1121200751,39.08,81.51
Day 2 (20 June 2026),20 June 2026,116,SG250017351,1121200755,32.14,67.79
Day 2 (20 June 2026),20 June 2026,197,SG250023601,1121200760,23.82,45.1
